dam_id,dam_num,name,beds,num_hospitals,trauma
169,UT00066,CENTER CREEK #3,19,1,LEVEL V
161,UT00524,PROVO - ROCK CANYON,395,1,LEVEL II
113,UT00832,CEDAR CITY - DRY CANYON,48,1,LEVEL IV
160,UT00299,NORTH UTAH CO - TIBBLE FORK,89,1,LEVEL IV
93,UT00152,DAVIS - BARTON CREEK,86,2,NOT AVAILABLE
128,UT00172,LAKE MARY-PHOEBE,38,1,NOT AVAILABLE
186,UT00539,SALT LAKE CO - SUGARHOUSE,14,1,NOT AVAILABLE
129,UT00755,LITTLE DELL,14,1,NOT AVAILABLE
71,UT00221,MOUNTAIN DELL,14,1,NOT AVAILABLE
162,UT00470,PROVO - SLATE CANYON #2,384,1,NOT AVAILABLE
132,UT00531,SALT LAKE CO - CREEKSIDE PARK,38,1,NOT AVAILABLE
65,UT00039,KENNECOTT MINE BINGHAM CREEK,172,1,LEVEL III
82,UT00833,CEDAR CITY - STEPHENS CANYON NORTH,48,1,LEVEL IV
147,UT00270,SETTLEMENT CANYON,44,1,NOT AVAILABLE
30,UT00304,TWIN LAKES (SALT LAKE),38,1,NOT AVAILABLE
131,UT00090,SALT LAKE CO - BIG COTTONWOOD (SPENCER'S),38,1,NOT AVAILABLE
37,UT00644,COTTONWOOD WASH DETENTION BASIN,29,1,NOT AVAILABLE
83,UT00834,CEDAR CITY - STEPHENS CANYON SOUTH,48,1,LEVEL IV
163,UT00469,UTAH CO - AMERICAN FORK DEBRIS,89,1,LEVEL IV
168,UT00065,CENTER CREEK #2,19,1,LEVEL V
167,UT00064,CENTER CREEK #1,19,1,LEVEL V
53,UT00276,NORTH UTAH COUNTY - SILVER LAKE FLAT,89,1,LEVEL IV
191,UT00527,SALT LAKE CO - FEDERAL HEIGHTS #1A,158,1,NOT AVAILABLE
