dam_id,dam_num,name,landuse_code,number_cells
1,UT00394,BROWNS DRAW,11.0,388
1,UT00394,BROWNS DRAW,21.0,568
1,UT00394,BROWNS DRAW,22.0,1561
1,UT00394,BROWNS DRAW,23.0,488
1,UT00394,BROWNS DRAW,24.0,88
1,UT00394,BROWNS DRAW,42.0,5
1,UT00394,BROWNS DRAW,52.0,11250
1,UT00394,BROWNS DRAW,81.0,2848
1,UT00394,BROWNS DRAW,82.0,1722
1,UT00394,BROWNS DRAW,90.0,17110
1,UT00394,BROWNS DRAW,95.0,273
2,UT00069,CHEPETA,11.0,5
2,UT00069,CHEPETA,21.0,487
2,UT00069,CHEPETA,22.0,434
2,UT00069,CHEPETA,23.0,13
2,UT00069,CHEPETA,41.0,364
2,UT00069,CHEPETA,42.0,2751
2,UT00069,CHEPETA,52.0,10098
2,UT00069,CHEPETA,71.0,74
2,UT00069,CHEPETA,81.0,4999
2,UT00069,CHEPETA,82.0,11
2,UT00069,CHEPETA,90.0,9489
2,UT00069,CHEPETA,95.0,4562
3,UT00235,OTTER CREEK,11.0,24
3,UT00235,OTTER CREEK,21.0,113
3,UT00235,OTTER CREEK,22.0,1556
3,UT00235,OTTER CREEK,23.0,142
3,UT00235,OTTER CREEK,41.0,40
3,UT00235,OTTER CREEK,42.0,261
3,UT00235,OTTER CREEK,52.0,4310
3,UT00235,OTTER CREEK,81.0,9835
3,UT00235,OTTER CREEK,82.0,2044
3,UT00235,OTTER CREEK,90.0,81
3,UT00235,OTTER CREEK,95.0,14
4,UT00240,PARADISE PARK,11.0,5
4,UT00240,PARADISE PARK,21.0,483
4,UT00240,PARADISE PARK,22.0,381
4,UT00240,PARADISE PARK,23.0,15
4,UT00240,PARADISE PARK,41.0,267
4,UT00240,PARADISE PARK,42.0,1147
4,UT00240,PARADISE PARK,52.0,10060
4,UT00240,PARADISE PARK,71.0,19
4,UT00240,PARADISE PARK,81.0,4995
4,UT00240,PARADISE PARK,82.0,12
4,UT00240,PARADISE PARK,90.0,9037
4,UT00240,PARADISE PARK,95.0,4500
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,21.0,1
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,22.0,220
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,52.0,2618
6,UT00431,MINERSVILLE - BIG WASH DEBRIS,22.0,1
6,UT00431,MINERSVILLE - BIG WASH DEBRIS,52.0,72
7,UT00044,BLUE CREEK,11.0,17
7,UT00044,BLUE CREEK,21.0,305
7,UT00044,BLUE CREEK,22.0,697
7,UT00044,BLUE CREEK,23.0,29
7,UT00044,BLUE CREEK,24.0,13
7,UT00044,BLUE CREEK,31.0,45
7,UT00044,BLUE CREEK,52.0,5665
7,UT00044,BLUE CREEK,71.0,551
7,UT00044,BLUE CREEK,81.0,2163
7,UT00044,BLUE CREEK,82.0,904
7,UT00044,BLUE CREEK,90.0,72
7,UT00044,BLUE CREEK,95.0,2067
8,UT00089,DEJARNATT,11.0,237
8,UT00089,DEJARNATT,21.0,299
8,UT00089,DEJARNATT,22.0,682
8,UT00089,DEJARNATT,23.0,28
8,UT00089,DEJARNATT,24.0,13
8,UT00089,DEJARNATT,31.0,46
8,UT00089,DEJARNATT,52.0,5769
8,UT00089,DEJARNATT,71.0,552
8,UT00089,DEJARNATT,81.0,2140
8,UT00089,DEJARNATT,82.0,927
8,UT00089,DEJARNATT,90.0,177
8,UT00089,DEJARNATT,95.0,2092
9,UT00259,ROCKY FORD (BEAVER),11.0,63
9,UT00259,ROCKY FORD (BEAVER),21.0,1277
9,UT00259,ROCKY FORD (BEAVER),22.0,4927
9,UT00259,ROCKY FORD (BEAVER),23.0,798
9,UT00259,ROCKY FORD (BEAVER),24.0,49
9,UT00259,ROCKY FORD (BEAVER),42.0,3
9,UT00259,ROCKY FORD (BEAVER),52.0,27825
9,UT00259,ROCKY FORD (BEAVER),71.0,1850
9,UT00259,ROCKY FORD (BEAVER),81.0,924
9,UT00259,ROCKY FORD (BEAVER),82.0,27153
9,UT00259,ROCKY FORD (BEAVER),90.0,56
9,UT00259,ROCKY FORD (BEAVER),95.0,1
10,UT00319,ETNA,21.0,4
10,UT00319,ETNA,22.0,19
10,UT00319,ETNA,52.0,557
10,UT00319,ETNA,71.0,24
10,UT00319,ETNA,81.0,505
10,UT00319,ETNA,82.0,639
10,UT00319,ETNA,90.0,6
10,UT00319,ETNA,95.0,62
11,UT00079,UTAH POWER & LIGHT - CUTLER,11.0,4313
11,UT00079,UTAH POWER & LIGHT - CUTLER,21.0,428
11,UT00079,UTAH POWER & LIGHT - CUTLER,22.0,1668
11,UT00079,UTAH POWER & LIGHT - CUTLER,23.0,232
11,UT00079,UTAH POWER & LIGHT - CUTLER,24.0,11
11,UT00079,UTAH POWER & LIGHT - CUTLER,31.0,1
11,UT00079,UTAH POWER & LIGHT - CUTLER,42.0,23
11,UT00079,UTAH POWER & LIGHT - CUTLER,52.0,424
11,UT00079,UTAH POWER & LIGHT - CUTLER,71.0,92
11,UT00079,UTAH POWER & LIGHT - CUTLER,81.0,2765
11,UT00079,UTAH POWER & LIGHT - CUTLER,82.0,22405
11,UT00079,UTAH POWER & LIGHT - CUTLER,90.0,5057
11,UT00079,UTAH POWER & LIGHT - CUTLER,95.0,4870
12,UT00251,PORCUPINE,11.0,2809
12,UT00251,PORCUPINE,21.0,1992
12,UT00251,PORCUPINE,22.0,3124
12,UT00251,PORCUPINE,23.0,238
12,UT00251,PORCUPINE,24.0,10
12,UT00251,PORCUPINE,31.0,2
12,UT00251,PORCUPINE,41.0,178
12,UT00251,PORCUPINE,42.0,207
12,UT00251,PORCUPINE,52.0,1501
