dam_id,dam_num,name,landuse_code,number_cells
1,UT00394,BROWNS DRAW,11.0,471
1,UT00394,BROWNS DRAW,21.0,574
1,UT00394,BROWNS DRAW,22.0,1473
1,UT00394,BROWNS DRAW,23.0,427
1,UT00394,BROWNS DRAW,24.0,83
1,UT00394,BROWNS DRAW,42.0,5
1,UT00394,BROWNS DRAW,52.0,11469
1,UT00394,BROWNS DRAW,81.0,2928
1,UT00394,BROWNS DRAW,82.0,1818
1,UT00394,BROWNS DRAW,90.0,18704
1,UT00394,BROWNS DRAW,95.0,331
2,UT00069,CHEPETA,11.0,8
2,UT00069,CHEPETA,21.0,563
2,UT00069,CHEPETA,22.0,555
2,UT00069,CHEPETA,23.0,13
2,UT00069,CHEPETA,41.0,448
2,UT00069,CHEPETA,42.0,3185
2,UT00069,CHEPETA,52.0,12768
2,UT00069,CHEPETA,71.0,96
2,UT00069,CHEPETA,81.0,6083
2,UT00069,CHEPETA,82.0,14
2,UT00069,CHEPETA,90.0,11498
2,UT00069,CHEPETA,95.0,5177
3,UT00235,OTTER CREEK,11.0,21
3,UT00235,OTTER CREEK,21.0,109
3,UT00235,OTTER CREEK,22.0,1366
3,UT00235,OTTER CREEK,23.0,131
3,UT00235,OTTER CREEK,41.0,33
3,UT00235,OTTER CREEK,42.0,203
3,UT00235,OTTER CREEK,52.0,3646
3,UT00235,OTTER CREEK,81.0,9741
3,UT00235,OTTER CREEK,82.0,1930
3,UT00235,OTTER CREEK,90.0,87
3,UT00235,OTTER CREEK,95.0,15
4,UT00240,PARADISE PARK,11.0,9
4,UT00240,PARADISE PARK,21.0,546
4,UT00240,PARADISE PARK,22.0,499
4,UT00240,PARADISE PARK,23.0,14
4,UT00240,PARADISE PARK,41.0,367
4,UT00240,PARADISE PARK,42.0,1507
4,UT00240,PARADISE PARK,52.0,12719
4,UT00240,PARADISE PARK,71.0,25
4,UT00240,PARADISE PARK,81.0,6048
4,UT00240,PARADISE PARK,82.0,15
4,UT00240,PARADISE PARK,90.0,11008
4,UT00240,PARADISE PARK,95.0,5112
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,21.0,2
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,22.0,196
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,52.0,2491
6,UT00431,MINERSVILLE - BIG WASH DEBRIS,22.0,1
6,UT00431,MINERSVILLE - BIG WASH DEBRIS,52.0,71
7,UT00044,BLUE CREEK,11.0,23
7,UT00044,BLUE CREEK,21.0,411
7,UT00044,BLUE CREEK,22.0,932
7,UT00044,BLUE CREEK,23.0,46
7,UT00044,BLUE CREEK,24.0,18
7,UT00044,BLUE CREEK,31.0,33
7,UT00044,BLUE CREEK,52.0,5809
7,UT00044,BLUE CREEK,71.0,730
7,UT00044,BLUE CREEK,81.0,2703
7,UT00044,BLUE CREEK,82.0,1113
7,UT00044,BLUE CREEK,90.0,89
7,UT00044,BLUE CREEK,95.0,2572
8,UT00089,DEJARNATT,11.0,350
