dam_id,dam_num,name,area_m2,total_oper_cap
159,UT00584,NORTH UTAH CO - GROVE CREEK,12424421.1276193,1385.0
157,UT00585,NORTH UTAH CO - BATTLE CREEK,14478284.2383523,1385.0
60,UT00514,QUAIL CREEK,20867386.4863908,80.0
61,UT00710,QUAIL CREEK SOUTH DAM,20762702.848805,80.0
93,UT00152,DAVIS - BARTON CREEK,3124641.29980246,30.4
9,UT00259,ROCKY FORD (BEAVER),71676791.9171717,6.0
130,UT00256,RED PINE,2517943.99154075,4.8
204,UT00321,WHITE PINE,2987596.14657713,4.8
94,UT00692,DAVIS - FARMINGTON POND,3698297.72290603,3.0
56,UT00189,ENTERPRISE (LOWER),150225877.278872,3.0
57,UT00309,ENTERPRISE (UPPER),150630761.90603,3.0
88,UT00196,MANTUA,2837642.62388547,1.8
172,UT00176,LINDSAY (BENNETT) LOWER,4403669.61132953,1.5
170,UT00088,DEER VALLEY,4673885.80370226,1.5
54,UT00330,WITT LAKE,8560274.51081893,1.5
171,UT00156,JONES,4604383.37432669,1.5
30,UT00304,TWIN LAKES (SALT LAKE),11868545.3713246,1.0
128,UT00172,LAKE MARY-PHOEBE,11821182.9654909,1.0
