dam_id,dam_num,name,area_m2,intersect_count,intersect_mile,voltage
25,UT00272,SEVIER BRIDGE,863092738.98704,15,56.942984675072175,500.0
120,UT00080,DMAD,581745705.569507,9,25.26363784116855,500.0
27,UT00249,PIUTE,224263647.02514,22,65.16487131416005,345.0
147,UT00270,SETTLEMENT CANYON,154533832.487005,9,27.151280063926045,115.0
23,UT00227,NEWCASTLE,151491485.279731,7,7.949698691755518,500.0
57,UT00309,ENTERPRISE (UPPER),150630761.90603,2,6.145303550172975,115.0
56,UT00189,ENTERPRISE (LOWER),150225877.278872,2,6.145303452922244,115.0
212,UT53326,Big Sand Wash,129946428.459622,6,29.28537781268284,345.0
110,UT00072,CLIFF LAKE (DUCHESNE),100477648.700264,5,4.372020038792432,345.0
150,UT00323,WHITEROCKS LAKE,93287746.4982007,5,4.066069738545652,345.0
9,UT00259,ROCKY FORD (BEAVER),71676791.9171717,9,15.711907439219289,230.0
12,UT00251,PORCUPINE,66509510.5408086,0,,0.0
11,UT00079,UTAH POWER & LIGHT - CUTLER,45960121.8369641,19,4.574941310400704,345.0
2,UT00069,CHEPETA,40262164.8279618,4,1.9543240361387404,345.0
214,UT00517,Recapture Creek,39707268.2823017,5,3.8911129492122516,138.0
53,UT00276,NORTH UTAH COUNTY - SILVER LAKE FLAT,38739876.2713122,15,29.174540312967363,345.0
1,UT00394,BROWNS DRAW,38273850.5903968,8,3.841398528440211,345.0
121,UT00131,GUNNISON BEND,38260955.1871127,0,,0.0
4,UT00240,PARADISE PARK,37742892.4889846,4,1.9548463292809846,345.0
34,UT00130,GUNNISON,37340855.7968552,4,2.863898177816439,138.0
75,UT00212,MILLSITE,35711465.5265732,2,4.107764983891413,345.0
118,UT00215,MONA,34211179.5809849,3,1.526677472186569,345.0
20,UT00100,UTAH POWER & LIGHT - ELECTRIC LAKE,32338228.3638052,15,3.9636718273227634,345.0
145,UT00366,ROCKY FORD (SEVIER),30575712.7349259,5,1.414127606543384,345.0
49,UT00390,COTTONWOOD,29512577.6472427,2,0.8838473695204966,345.0
112,UT00302,TROPIC,28430364.8417761,3,1.1343350205716038,230.0
18,UT00306,TWIN POTS,25775301.2746265,4,2.35549657927477,345.0
55,UT00010,ASH CREEK,21215287.9268419,15,4.3028427871622394,500.0
60,UT00514,QUAIL CREEK,20867386.4863908,18,6.387988198272207,500.0
61,UT00710,QUAIL CREEK SOUTH DAM,20762702.848805,18,6.590025724423096,500.0
44,UT00324,WHITNEY,20486496.7852418,0,,0.0
16,UT00069,CHEPETA,20221342.6896625,4,0.8959103364500618,345.0
86,UT00194,MANDERFIELD (AKA BEAVER),20138673.459028,3,2.866538784298649,230.0
59,UT00164,KOLOB CREEK,19802710.7105293,15,3.5313346962924244,500.0
71,UT00221,MOUNTAIN DELL,19037098.6438245,37,16.022705808562947,345.0
64,UT00208,MILL MEADOW,18046837.4852023,4,1.0053915164691927,138.0
3,UT00235,OTTER CREEK,17789718.8840292,0,,0.0
62,UT00588,SOUTH CREEK - WASHINGTON CO,17658030.1538375,13,3.757903850432643,500.0
47,UT00353,BROUGH,16826813.8792171,0,,0.0
129,UT00755,LITTLE DELL,16802505.7395662,16,14.198138287604795,138.0
29,UT00332,WOODRUFF CREEK,16556826.0282263,2,4.158366022330548,230.0
50,UT00624,LAPOINT,16339917.963738,4,2.09477594292694,345.0
45,UT00343,GRANTSVILLE,16240394.3103091,2,2.1070634468396885,115.0
117,UT00335,YANKEE MEADOW,16234821.2859582,3,1.8291360118839224,345.0
42,UT00280,SMITH AND MOREHOUSE,16033265.6586343,4,1.4144690834905893,115.0
28,UT00041,BIRCH CREEK #2,15646288.7713755,2,4.158366022330548,230.0
211,UT10101,RED BUTTE,15569654.8605154,34,20.551948296450828,138.0
77,UT00313,WALL LAKE,15454792.8633538,0,,0.0
208,UT00184,LOST LAKE,15373628.1508261,0,,0.0
207,UT00315,WASHINGTON LAKE,14915566.8528618,0,,0.0
8,UT00089,DEJARNATT,14841036.2686569,0,,0.0
43,UT00301,TRIAL LAKE,14832891.6618759,0,,0.0
158,UT00472,NORTH UTAH CO - DRY CREEK,14621478.8808104,13,14.57007045905159,345.0
68,UT00144,HUNTINGTON,14575689.2170711,6,1.3791667776351422,345.0
157,UT00585,NORTH UTAH CO - BATTLE CREEK,14478284.2383523,18,8.271512451910235,345.0
183,UT00165,KOOSHAREM,14218388.4232414,2,1.08688802997981,230.0
7,UT00044,BLUE CREEK,14158819.0013613,0,,0.0
67,UT00071,CLEVELAND,13801873.3167568,6,1.3791667776351422,345.0
119,UT00322,CORN CREEK,13554747.369584,0,,0.0
182,UT00260,ROLFSON,13297503.5679589,6,1.3791667776351422,345.0
163,UT00469,UTAH CO - AMERICAN FORK DEBRIS,13203865.8407521,13,3.1822361232926264,345.0
58,UT00129,GUNLOCK,13105943.1977006,6,1.9454461992483278,230.0
87,UT00298,THREE CREEKS - BEAVER,12533272.1671697,4,1.4915796831979817,138.0
159,UT00584,NORTH UTAH CO - GROVE CREEK,12424421.1276193,16,7.410438593595989,345.0
66,UT00210,MILLER FLAT,12377766.7872947,6,1.3791667776351422,345.0
80,UT00380,LOGAN FIRST DAM,12303980.3241938,9,3.1454147521052658,138.0
35,UT00138,NINEMILE,11968090.871948,4,0.8245110366951613,138.0
160,UT00299,NORTH UTAH CO - TIBBLE FORK,11951500.2845743,12,5.089796413611114,345.0
141,UT00119,PALISADES LAKE,11944644.216168,3,0.753784215951879,138.0
30,UT00304,TWIN LAKES (SALT LAKE),11868545.3713246,5,2.9795607679509675,138.0
128,UT00172,LAKE MARY-PHOEBE,11821182.9654909,5,2.9691322755566945,138.0
84,UT00161,KENTS LAKE #1,11063250.8725858,3,1.2552754257551553,138.0
205,UT00429,JOYCE,10712334.9728998,0,,0.0
79,UT00052,BOYER LAKE,10616434.1758184,0,,0.0
81,UT00830,CEDAR CITY - FIDDLER CANYON #2,10120111.3712461,1,0.16120118703836253,138.0
65,UT00039,KENNECOTT MINE BINGHAM CREEK,9808162.33778089,27,13.328611761877625,345.0
37,UT00644,COTTONWOOD WASH DETENTION BASIN,9503610.13256378,5,4.304599694831206,138.0
46,UT00353,BROUGH,9471695.72154864,0,,0.0
131,UT00090,SALT LAKE CO - BIG COTTONWOOD (SPENCER'S),9416327.65151028,5,3.614503099571917,138.0
161,UT00524,PROVO - ROCK CANYON,9224378.80024628,12,6.870397640863954,345.0
225,UT53352,M&S DAM,9185200.47544466,1,0.8488668842101758,69.0
229,UT00516,RANCHERS EXPLORATION TAILINGS,9093174.08244332,1,1.1761533248663039,115.0
24,UT00255,RED CREEK (IRON),8561981.38498396,0,,0.0
54,UT00330,WITT LAKE,8560274.51081893,3,0.8250269946857034,69.0
167,UT00064,CENTER CREEK #1,8226294.26829515,8,3.3057127163229905,138.0
169,UT00066,CENTER CREEK #3,8138995.36075312,8,3.3057127163229905,138.0
168,UT00065,CENTER CREEK #2,8079804.86887146,8,3.3057127163229905,138.0
85,UT00162,KENTS LAKE #2,7829290.18451281,3,1.0804832474776789,138.0
164,UT00613,UTAH CO - HOBBLE CREEK,7748588.05521471,15,5.206434462861984,345.0
226,UT00409,JORDAN VALLEY WATER PURIFICATION UPPER,7442457.38080202,6,5.304260478822306,345.0
175,UT00680,CITY CREEK DEBRIS BASIN - ST GEORGE,7352593.68010149,9,3.4769341109012375,230.0
165,UT00387,UTAH CO - SANTAQUIN DEBRIS,7295222.53031913,3,1.239191195601161,138.0
73,UT00393,KEN'S LAKE,7209792.93200672,3,1.174700484404456,345.0
111,UT00233,OAK CREEK (UPPER BOWNS),7169511.13336131,1,0.3259646397646143,69.0
176,UT50414,SAND HOLLOW NORTH,6818361.40064742,2,2.2936617705888844,69.0
142,UT00627,DAIRY CANYON DETENTION BASIN,6755391.59315859,4,2.9653162156805157,345.0
41,UT00257,REX,6612710.48474418,4,1.2499316853274496,345.0
63,UT00396,WARNER DRAW,6187163.23623801,8,4.352212821544311,230.0
149,UT00098,EAST PARK,6178167.60687666,3,0.1581143828512904,138.0
21,UT00187,BOWNS (LOWER),6121595.00503839,1,0.32596122130809113,69.0
38,UT00644,COTTONWOOD WASH DETENTION BASIN,6056916.75985123,3,2.4826926118952883,138.0
218,UT00475,JORDAN VALLEY WATER PURIFICATION LOWER,5919524.77185562,6,2.937734569728389,345.0
146,UT00533,SAND H DEBRIS,5886464.98221211,0,,0.0
148,UT00058,BULLOCK DRAW,5658520.51097152,2,0.13847058698360015,345.0
36,UT00644,COTTONWOOD WASH DETENTION BASIN,5093974.58176435,2,1.4088448769608786,115.0
69,UT00158,JULIUS FLAT,4912055.31317418,0,,0.0
177,UT50415,SAND HOLLOW WEST,4897518.37632054,0,,0.0
17,UT00254,RED CREEK (DUCHESNE),4888953.62717196,2,0.1604150998255231,345.0
