road_id,road_admin,name,road_surface,road_class,portion,length
563396,State,U40,Paved,3,0.006056823575061149,1.7044535400763974
563396,State,U40,Paved,3,0.0010601566980452282,0.29833918961402967
563418,State,S22,Paved,5,0.04791435904304415,3.2185407942618998
573311,State,S62,Paved,5,0.1902337015964698,13.132266723901635
563396,State,U40,Paved,3,0.0009963078010735249,0.28037144181277496
572526,State,S130,Paved,3,0.015346503630123465,1.0548112343465104
572526,State,S130,Paved,3,0.000520803912778751,0.03579641534846639
573612,State,S83,Paved,4,0.10537163703915678,5.341010490708514
573612,State,S83,Paved,4,0.10537164069308816,5.341010675916662
572526,State,S130,Paved,3,0.011146540328576733,0.7661351566490061
570988,State,S21,Paved,5,0.061339963911520516,10.627996871187625
570643,State,I15,Paved,1,0.0020060026139723393,1.2971794194618242
563375,State,S30,Paved,5,0.003935745144145147,0.8577622890821981
573643,State,S102,Paved,4,0.10245008849660416,0.9686893140136672
575636,State,S13,Paved,5,0.08174074914563016,4.242481438287874
563375,State,S30,Paved,5,0.018984986079513926,4.137616771752274
563380,State,U89,Paved,3,0.001739715548375863,1.305604510901978
573051,State,S16,Paved,4,0.09685816672058943,4.523528128372677
575198,State,S39,Paved,5,0.04338058526230421,4.489101913144304
576269,State,S44,Paved,4,0.003768703826892272,0.1693984491624632
570643,State,I15,Paved,1,0.003423478790861861,2.2137888552777785
570643,State,I15,Paved,1,0.0017770040673076972,1.1490977570796344
575293,State,S127,Paved,5,0.014406500848039749,0.13155720558847
563396,State,U40,Paved,3,0.0010601566980452282,0.29833918961402967
563396,State,U40,Paved,3,0.001404108009850888,0.3951306882858659
563396,State,U40,Paved,3,0.002771057454257332,0.7798045673827166
573071,State,S10,Paved,4,0.01271102661322365,1.4072307036762286
563418,State,S22,Paved,5,0.013645242600867129,0.916588906449472
563410,State,S56,Paved,4,0.028740288769565688,2.844778076679588
563438,State,S12,Paved,3,0.0004036396236691491,0.07990775853468131
573054,State,S24,Paved,4,0.006772996477301124,1.6583014580650237
573367,State,S72,Paved,5,0.05354058515099675,3.0653199585563917
573862,State,S111,Paved,4,0.010910800829429797,0.2741396878840555
573872,State,S154,Paved,3,0.028240388537109556,1.0574991172646073
573908,State,S209,Paved,3,0.14461394832244318,3.0939872898793945
